Número de artículo,Identificador del producto,Nombre,Nombre de visualización del código de barras,Variación,Cantidad Unidad Cantidad,Categoría,ID del proveedor,Permitir anulación de precio independientemente de los permisos,Deshabilitar reglas de precios,Solo permite que los artículos se vendan en números enteros,Vendido en una serie,Cantidad de la serie,Número de días que la serie debe usarse dentro de,¿Está el código de barras,Inactivo,Cantidad predeterminada al vender o recibir,Costo,Precio de venta,Precio promocional,Fecha de inicio de la promoción,Fecha de finalización de la promoción,"El precio incluye impuesto,",Es un servicio,Es favorito,Cantidad,Mínimo de productos,Nivel de Reposición,Descripción,descripción larga,Ventana emergente de información al agregar a la venta,Peso,Unidad de peso,Longitud,Ancho,Altura,Permitir descripción alterna,El artículo cuenta con un número de serie,Comisión,¿Porciento de comisión basado en ganancia?,Grupo de impuestos,Etiquetas,Días de vencimiento,Precio modificable mientras se realiza la venta,Fabricante,Ubicación en tienda,Artículo es de comercio electrónico,Id del artículo
104634,P33965,PINTURA_T1 PINTATEC GRIS BASALTO 1/4,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,11500.0,12500,,,,,,n,8.0,,,,,,,,,,,,,,,,PINTURA T1,,,,VARIOS - PISO: 1,y,4628
104633,34115,CANAL PVC TIPO RAINGO X 3MT,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,40000.0,46000,,,,,,n,14.0,,,,,,,,,,,,,,,,,,,,,y,4627
104632,33947,TEJA ZINC ASESCO 3MT X 1MT,,,,HOGAR-CONSTRUCCION,FERRETERIA HERMANOS BASTIDAS J,,,,,,,y,,,30000.0,33000,,,,,,n,9.0,20.0,2000.0,,,,,,,,,,,,,,,,,,CASA VERDE,y,4626
104631,33950,TEJA ZINC ASESCO 3.60T X 1MT,,,,HOGAR-CONSTRUCCION,FERRETERIA HERMANOS BASTIDAS J,,,,,,,y,,,30800.0,38800,,,,,,n,0.0,20.0,2000.0,,,,,,,,,,,,,,,,,,CASA VERDE,y,4625
104630,33944,TEJA ZINC ASESCO 2.40 X 1MT,,,,HOGAR-CONSTRUCCION,FERRETERIA HERMANOS BASTIDAS J,,,,,,,y,,,20800.0,26800,,,,,,n,379.0,20.0,2000.0,,,,,,,,,,,,,,TEJA,,,,CASA VERDE,y,4624
104629,33959,JUEGO OLLA ARROCERA TAPA COLOR X 3UND,,,,HOGAR-CONSTRUCCION,ALUMINIOS EL REY,,,,,,,y,,,58250.0,61250,,,,,,n,2.0,2.0,,,,,,,,,,,,,,,,,,,ZONA FACTURACION,y,4623
104628,33962,JUEGO DE OLLAS ARO ALUMINIO X 10UND 12-30,,,,HOGAR-CONSTRUCCION,ALUMINIOS EL REY,,,,,,,y,,,140300.0,145300,,,,,,n,0.0,2.0,,,,,,,,,,,,,,,,,,,ZONA FACTURACION,y,4622
104627,33956,JUEGO OLLA ARROCERA 250/2250 X 5UN,,,,HOGAR-CONSTRUCCION,ALUMINIOS EL REY,,,,,,,y,,,90000.0,99000,,,,y,,n,3.0,,,,,,,,,,,,,,,,,,,,,y,4621
104626,33953,CANTINA LECHERA ALUMINIO # 10,,,,,ALUMINIOS EL REY,,,,,,,y,,,40150.0,47150,,,,,,n,5.0,,,,,,,,,,,,,,,,,,,,SALA VENTAS,y,4620
104625,34103,ARBOL DE ENTRADA CARDENAS,,,,GRIFERIAS-ACCESORIOS,HIDROGRIFERIAS CARDENAS SAS,,,,,,,y,,,1500.0,3500,,,,y,,n,41.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 21 - PISO: 2,y,4619
104624,34106,PITON MANGUERA PLASTICO CARDENAS,,,,AGRO,PROVEEDORES  VARIOS,,,,,,,y,,,900.0,1100,,,,y,,n,90.0,20.0,200.0,,,,,,,,,,,,,,,,,,ESTANTE: 20 - PISO: 2,y,4618
104623,V8956,"CLAVO 5"" X 700GR EN BOLSA",,,,HOGAR-CONSTRUCCION,,,,,,,,y,,,3500.0,4500,,,,y,,n,-12.0,,,,,,,,,,,,,,,,,,,,,y,4617
104622,33932,GUANTE ANTICORTE FEDERALLY TALLA 9,,,,PROTECION-VESTUARIO,PROVEEDORES  VARIOS,,,,,,,y,,,10500.0,14800,,,,y,,n,1734.0,,,,,,,,,,,,,,,,GUANTE,,,,,y,4616
104621,33929,GUANTE ANTICORTE FEDERALLY TALLA 8,,,,PROTECION-VESTUARIO,PROVEEDORES  VARIOS,,,,,,,y,,,10500.0,14800,,,,y,,n,1251.0,,,,,,,,,,,,,,,,GUANTE,,,,,y,4615
104620,33935,GUANTE ANTICORTE FEDERALLY TALLA 10,,,,PROTECION-VESTUARIO,PROVEEDORES  VARIOS,,,,,,,y,,,10500.0,14800,,,,y,,n,2.0,,,,,,,,,,,,,,,,GUANTE,,,,,y,4614
104619,33908,TUBO PRESION 1/2 RD 13.5 FDMR,,,,HOGAR-CONSTRUCCION,FABRICA Y DISTRIBUCION MARINA RODRIGUEZ SAS,,,,,,,y,,,9800.0,10800,,,,y,,n,528.0,,,,,,,,,,,,,,,,,,,,CASA VERDE,y,4613
104618,33914,"TUBO PRESION 1"" RD 21 FDMR",,,,HOGAR-CONSTRUCCION,FABRICA Y DISTRIBUCION MARINA RODRIGUEZ SAS,,,,,,,y,,,15000.0,18000,,,,y,,n,4.0,,,,,,,,,,,,,,,,,,,,CASA VERDE,y,4612
104617,33911,TUBO PRESION 3/4 RD 21 FDMR,,,,HOGAR-CONSTRUCCION,FABRICA Y DISTRIBUCION MARINA RODRIGUEZ SAS,,,,,,,y,,,10200.0,13200,,,,y,,n,92.0,,,,,,,,,,,,,,,,,,,,CASA VERDE,y,4611
104616,P33905,PINTURA_T3 PINTATEC LILA - CUÑETE,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,66160.0,78000,,,,,,n,4.0,2.0,50.0,,,,,,,,,,,,,,PINTURA T3,,,,VARIOS - PISO: 1,y,4610
104615,33893,BOTA TRABAJO NEGRA SUELA INYECTADA # 40,,,,PROTECION-VESTUARIO,"BOOTS""N COMPANY SAS",,,,,,,y,,,60500.0,68500,,,,,,n,10.0,,,,,,,,,,,,,,,,,,,,ZONA FACTURACION,y,4609
104614,33890,BOTA TRABAJO NEGRA SUELA INYECTADA # 39,,,,PROTECION-VESTUARIO,"BOOTS""N COMPANY SAS",,,,,,,y,,,60500.0,68500,,,,,,n,11.0,,,,,,,,,,,,,,,,,,,,ZONA FACTURACION,y,4608
104613,33887,BOTA TRABAJO NEGRA SUELA INYECTADA # 38,,,,PROTECION-VESTUARIO,"BOOTS""N COMPANY SAS",,,,,,,y,,,60500.0,68500,,,,,,n,12.0,,,,,,,,,,,,,,,,,,,,ZONA FACTURACION,y,4607
104612,33884,BOTA TRABAJO NEGRA SUELA INYECTADA # 37,,,,PROTECION-VESTUARIO,"BOOTS""N COMPANY SAS",,,,,,,y,,,60500.0,68500,,,,,,n,12.0,,,,,,,,,,,,,,,,,,,,ZONA FACTURACION,y,4606
104611,P33878,PINTURA_T1 PINTATEC VERDE CHARTREUSE-1/4,,,,PINTURAS,INDUSTRIAS PROQUIMITEC SAS,,,,,,,y,,,10500.0,12500,,,,y,,n,17.0,,,,,,,,,,,,,,,,PINTURA T1,,,,CASA VERDE,y,4605
104610,33869,MINERAL ECONOMICO AMARILLO EN BOLSA,,,,HOGAR-CONSTRUCCION,JOSE  GUERRERO,,,,,,,y,,,1000.0,1400,,,,y,,n,50.0,,,,,,,,,,,,,,,,,,,,,y,4604
104609,33866,OLLA EXPRESS 6LT + OLLA 18 + SET X 3PZ SARTEN UNIVERSAL,,,,HOGAR-CONSTRUCCION,LANDERS Y CIA SAS,,,,,,,y,,,120000.0,140000,,,,y,,n,2.0,,,,,,,,,,,,,,,,,,,,,y,4603
104608,33863,OLLA EXPRESS 4LT + SET SARTEN X 2PZ UNIVERSAL,,,,HOGAR-CONSTRUCCION,LANDERS Y CIA SAS,,,,,,,y,,,95000.0,105000,,,,y,,n,5.0,,,,,,,,,,,,,,,,,,,,,y,4602
104607,33857,JUEGO DE TINAJAS ALUMINIO X 6UND.,,,,,ALUMINIOS EL REY,,,,,,,y,,,55680.0,69600,,,,,,n,17.0,,,,,,,,,,,,,,,,OLLAS,,,,SALA VENTAS,y,4601
104606,33854,CANTINA LECHERA ALUMINIO # 7,,,,,ALUMINIOS EL REY,,,,,,,y,,,23520.0,29400,,,,,,n,9.0,,,,,,,,,,,,,,,,OLLAS,,,,SALA VENTAS,y,4600
104605,33851,CANTINA LECHERA ALUMINIO # 5,,,,,ALUMINIOS EL REY,,,,,,,y,,,19200.0,24000,,,,,,n,4.0,,,,,,,,,,,,,,,,OLLAS,,,,SALA VENTAS,y,4599
104604,33848,CANTINA LECHERA ALUMINIO  # 3,,,,,ALUMINIOS EL REY,,,,,,,y,,,14400.0,18000,,,,,,n,6.0,,,,,,,,,,,,,,,,OLLAS,,,,SALA VENTAS,y,4598
104603,33845,JUEGO DE OLLAS ALUMINIO X 6UND 14-24,,,,,ALUMINIOS EL REY,,,,,,,y,,,68640.0,85800,,,,,,n,9.0,,,,,,,,,,,,,,,,OLLAS,,,,SALA VENTAS,y,4597
104602,33842,JUEGO DE OLLAS ALUMINIO X 6UND 28-38,,,,HOGAR-CONSTRUCCION,ALUMINIOS EL REY,,,,,,,y,,,249000.0,289000,,,,y,,n,12.0,,,,,,,,,,,,,,,,OLLAS,,,,,y,4596
104601,33824,"MANGUERA BICOLOR 1"" X 70 MT LA SABANA",,,,AGRO,XIOMARA  HERRERA,,,,,,,y,,,100000.0,105000,,,,y,,n,35.0,,,,,,,,,,,,,,,,MANGUERA BICOLOR,,,,,y,4595
104600,33821,MINERAL ECONOMICO VERDE EN BOLSA,,,,PEGANTES-ADHESIVOS,JOSE  GUERRERO,,,,,,,y,,,1000.0,1400,,,,,,n,179.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 1 - PISO: 1,y,4594
104599,P33818,PINTURA_T1 PINTATEC ROJO COLONIAL-CUÑETE,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,166175.0,180000,,,,y,,n,0.0,,,,,,,,,,,,,,,,PINTURA T1,,,,,y,4593
104598,P33800,PINTURA_T2 PINTATEC VERDE CHARTREUSE-GALON,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,25500.0,29200,,,,,,n,18.0,2.0,20.0,,,,,,,,,,,,,,PINTURA T2,,,,CASA VERDE,y,4592
104597,P13379,PINTURA_T1 PINTATEC VERDE CHARTREUSE-GALON,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,35500.0,40000,,,,,,n,21.0,2.0,20.0,,,,,,,,,,,,,,PINTURA T1,,,,CASA VERDE,y,4591
104596,P13397,PINTURA_T1 PINTATEC GRIS BASALTO -GALON,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,35500.0,40000,,,,,,n,13.0,2.0,20.0,,,,,,,,,,,,,,PINTURA T1,,,,CASA VERDE,y,4590
104595,V33791,PINTURA_T2 PINTATEC AGUA MARINA-CUÑETE,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,102000.0,130000,,,,y,,n,7.0,,,,,,,,,,,,,,,,PINTURA T2,,,,CASA VERDE,y,4589
104594,V33845,VARENGAS,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,6000.0,6000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4588
104593,V33926,TUBO METALICO RECTANGULAR 100 X 10 X1.5MM X 6MT,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,130000.0,130000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4587
104592,V33851,TUBO METALICO CALIBRE 18 X 6MT,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,78000.0,78000,,,,,,n,26.0,,,,,,,,,,,,,,,,,,,,,y,4586
104591,33656,TRITURADORA ORGANICO JTRF 60MARCA TRAP,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,1610000.0,1610000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4585
104590,V33842,TRITURADO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,450000.0,450000,,,,,,n,-4.0,,,,,,,,,,,,,,,,,,,,,y,4584
104589,33650,TIJERAS PODADORAS BELLOTA CROMADA DE RESORTE,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,106000.0,106000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4583
104588,V33839,TENSORES PUNTO ROJO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,5800.0,5800,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4582
104587,V33935,TEJA TRASLUCIDA 1.80MT,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,50000.0,50000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4581
104586,V33932,TEJA ETRNIT 1.80 MT,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,34000.0,34000,,,,,,n,82.0,,,,,,,,,,,,,,,,,,,,,y,4580
104585,33575B,TAPA PINTURA T2 VERDE-CUÑETE,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,4600.0,4600,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4579
104584,V33836,TANQUES 1000LT,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,400000.0,400000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4578
104583,33629B,TALCO BLANCO MALLA 500,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,1850.0,1850,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4577
104582,V33944,TABLONES,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,26000.0,26000,,,,,,n,5.0,,,,,,,,,,,,,,,,,,,,,y,4576
104581,33686B,ROLLO DE CABLE ELECTRICO # 12 CENTELSA CONTRAMARCADO COLORES,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,180000.0,180000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4575
104580,33674,RESPIRADOR 3M MEDIA CARA 6200 S/CARTUCHOS 3M,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,52000.0,52000,,,,,,n,1.0,,,,,,,,,,,,,,,,,,,,,y,4574
104579,V33917,RAJON,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,57150.0,57150,,,,,,n,7.0,,,,,,,,,,,,,,,,,,,,,y,4573
104578,V33854,PUERTAS METALICAS 1.50 X 2.0MT,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,480000.0,480000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4572
104577,V33938,PUERTA 1.30 X 2MT,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,400000.0,400000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4571
104576,V33830,PLASTICO CALIBRE 7  DE 6MT X 57MT CON RAYOS MICROFILTRADOS.,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,1054500.0,1054500,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4570
104575,V33827,PLASTICO CALIBRE 7  DE 6MT X 100MT CON RAYOS MICROFILTRADOS.,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,1850000.0,1850000,,,,,,n,-4.0,,,,,,,,,,,,,,,,,,,,,y,4569
104574,V33881,OXICLORURO DE COBRE,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,6500.0,6500,,,,,,n,-14.0,,,,,,,,,,,,,,,,,,,,,y,4568
104573,33572,NUBIFER M-4711 MARRON X 25KG,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,59426.0,59426,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4567
104572,P33797,NARANJA FL-305 FLUORESENTE * 1KG,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,88000.0,88000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4566
104571,33644,MOTOR TOOL TRUPER NARANJA,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,125000.0,125000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4565
104570,V33857,MALLA ESLABONADA CAL 14,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,17000.0,17000,,,,,,n,45.0,,,,,,,,,,,,,,,,,,,,,y,4564
104569,P33794,LATEX RDP MK3510N SACO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,18500.0,18500,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4563
104568,V33950,LADRILLO DEL BLOQUE,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,900.0,900,,,,,,n,5000.0,,,,,,,,,,,,,,,,,,,,,y,4562
104567,V33923,LADRILLO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,800.0,800,,,,,,n,4000.0,,,,,,,,,,,,,,,,,,,,,y,4561
104566,V33824,GUADUAS,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,11500.0,11500,,,,,,n,-700.0,,,,,,,,,,,,,,,,,,,,,y,4560
104565,33653,"GUADAÑA STILL 280 CUCHILLA D2, BIDON 5L",,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,1780000.0,1780000,,,,,,n,1.0,,,,,,,,,,,,,,,,,,,,,y,4559
104564,V33893,GUADAÑA STHIL FS 380,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,2435000.0,2435000,,,,,,n,-2.0,,,,,,,,,,,,,,,,,,,,,y,4558
104563,V33821,GRAPA PARA COSEDORA REF- 73-10 COBRIZADA,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,23000.0,23000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4557
104562,33662,GALON DE ACEITE 2 TIEMPOS,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,97000.0,97000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4556
104561,33680,FLEXOMETRO 8 MT. STANLEY CINTA RECUBIERTA DE NYLON. BANDA DE RESORTE DE ACERO DE ALTA CALIDAD CON AJUSTADOR CUADARDO TIPO TRI,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,32900.0,32900,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4555
104560,V33818,FILTRO DE PULGADA (DE ANILLOS),,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,45000.0,45000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4554
104559,V33899,FIBRA VERDE ROLLO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,10500.0,10500,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4553
104558,V33878,FERTILIZANTE ORGANICO ABONISSA,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,22500.0,22500,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4552
104557,33671,EXTINTOR 10LB MULTIPROPOSITO AMARILLO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,46500.0,46500,,,,,,n,1.0,,,,,,,,,,,,,,,,,,,,,y,4551
104556,V33890,ESTACIONARIA DE 3 HP,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,1600000.0,1600000,,,,,,n,-1.0,,,,,,,,,,,,,,,,,,,,,y,4550
104555,33659,"ESTACIONARIA 4-6 HP,MANGUERA Y ACCESORIO MARCA LIDER",,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,1386000.0,1386000,,,,,,n,1.0,,,,,,,,,,,,,,,,,,,,,y,4549
104554,33638B,ESCALERA METALICA DISFOCCI MULTIFUNCIONAL,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,445000.0,445000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4548
104553,V33908,EMPAQUES PARA LLAVE DE GOTEO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,500.0,500,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4547
104552,33614,DISPAQ NEGRO B7 X 20KG,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,18000.0,18000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4546
104551,V33887,DIATOMEA,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,85500.0,85500,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4545
104550,V33905,CONECTORES PARA CINTA DE GOTEO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,800.0,800,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4544
104549,V33902,CONECTORES MARIPOSA VERDE,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,3200.0,3200,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4543
104548,V33815,CINTA NEGRA RIEGO GOTEO X 100MT,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,320000.0,320000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4542
104547,V33863,CERAMICA X MTS2,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,40000.0,40000,,,,,,n,13.0,,,,,,,,,,,,,,,,,,,,,y,4541
104546,33677,CARTUCHO GASES REF 6003,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,91000.0,91000,,,,,,n,2.0,,,,,,,,,,,,,,,,,,,,,y,4540
104545,33647,CARRETA PLASTICA BUGGY COLIMA-COLOR VERDE,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,217000.0,217000,,,,,,n,1.0,,,,,,,,,,,,,,,,,,,,,y,4539
104544,V33812,CANASTILLAS DE PLASTICO 22KG,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,14000.0,14000,,,,,,n,-20.0,,,,,,,,,,,,,,,,,,,,,y,4538
104543,33665,CAMILLA POLIETILENO + INMOVILIZADORAS COLOR ROJO-TABLAINMOVILIZACION ESPINAL,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,52000.0,52000,,,,,,n,1.0,,,,,,,,,,,,,,,,,,,,,y,4537
104542,V33872,CAL AGRICOLA,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,92000.0,92000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4536
104541,V33809,CAJAS DE GRAPAS 73-10,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,25000.0,25000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4535
104540,V33941,"CAJA DE TORNILLOS 1"" POR 6",,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,70000.0,70000,,,,,,n,1100.0,,,,,,,,,,,,,,,,,,,,,y,4534
104539,V33929,CABALLETE TIPO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,36000.0,36000,,,,,,n,20.0,,,,,,,,,,,,,,,,,,,,,y,4533
104538,33668,BOTIQUIN MEDIANO DOTADO LONA MEDIANO 50*30*20,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,52000.0,52000,,,,,,n,1.0,,,,,,,,,,,,,,,,,,,,,y,4532
104537,33686,BOTAS CAUCHO ANDINA AZUL TALLAS 38-36-37,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,30000.0,30000,,,,,,n,4.0,,,,,,,,,,,,,,,,,,,,,y,4531
104536,V33947,BALASTRO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,91700.0,91700,,,,,,n,3.0,,,,,,,,,,,,,,,,,,,,,y,4530
104535,V33884,AZUFRE EN POLVO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,7300.0,7300,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4529
104534,33641,ARNES ECONOMICO AMARILLO REFORZADO,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,105000.0,105000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4528
104533,V33806,ARENA,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,100000.0,100000,,,,,,n,32.0,,,,,,,,,,,,,,,,,,,,,y,4527
104532,V33860,ANTICORROSIVO GALON,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,47000.0,47000,,,,,,n,8.0,,,,,,,,,,,,,,,,,,,,,y,4526
104531,V33956,ALISIN SAFER,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,65000.0,65000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4525
104530,V33896,ALAMBRE CALIBRE 12,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,8500.0,8500,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4524
104529,V33869,ALAMBRE # 14 X ROLLOS,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,145000.0,145000,,,,,,n,4.0,,,,,,,,,,,,,,,,,,,,,y,4523
104528,V33866,ALAMBRE # 12 X ROLLOS,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,208000.0,208000,,,,,,n,10.0,,,,,,,,,,,,,,,,,,,,,y,4522
104527,V33875,AGRIMINS,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,131000.0,131000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4521
104526,V33848,ACERO DE REFUERZO CHIPA 1/4,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,5800.0,5800,,,,,,n,300.0,,,,,,,,,,,,,,,,,,,,,y,4520
104525,V33911,ACCESORIOS SANITARIOS,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,40000.0,40000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4519
104524,V33914,ACCESORIOS HIDRAULICOS,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,1200.0,1200,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4518
104523,ABM1,ABONO ORGANICO A BASE DE MICORRIZAS,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,92000.0,92000,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4517
104522,V33833,SOGA PISADORA X 800 MT,,,,HERRAMIENTAS-ACCESORIOS,TEXCOL S.A.S,,,,,,,y,,,0.0,250000,,,,y,,n,0.0,20.0,200.0,,,,,,,,,,,,,,,,,,,y,4516
104521,V95200,ALAMBRE ACERADO CALIBRE 12 DE 25KG,,,,HERRAMIENTAS-ACCESORIOS,VALLEJO HERMANOS COMERCIALIZADORES SAS,,,,,,,y,,,11199.0,12600,,,,y,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4515
104520,V33803,ALAMBRE GALVANIZADO CALIBRE 10 DE 25KG,,,,HERRAMIENTAS-ACCESORIOS,FERRETERIA BUENOS AIRES,,,,,,,y,,,8149.0,9200,,,,y,,n,0.0,,,,,,,,,,,,,,,,,,,,,y,4514
104519,33734,POMADA ESMERILADO PARA VALVULAS 75G SITECO,,,,PEGANTES-ADHESIVOS,DISTRIBUCIONES FERROELECTRICAS DE OCCIDENTE SAS,,,,,,,y,,,10279.0,13500,,,,y,,n,41.0,,,,,,,,,,,,,,,,GRASA,,,,ESTANTE: 29 - PISO: 3,y,4513
104518,V33731,TABLA DE MADERA,,,,OTROS,PROVEEDORES  VARIOS,,,,,,,y,,,11000.0,14000,,,,y,,n,20.0,,,,,,,,,,,,,,,,,,,,,y,4512
