Número de artículo,Identificador del producto,Nombre,Nombre de visualización del código de barras,Variación,Cantidad Unidad Cantidad,Categoría,ID del proveedor,Permitir anulación de precio independientemente de los permisos,Deshabilitar reglas de precios,Solo permite que los artículos se vendan en números enteros,Vendido en una serie,Cantidad de la serie,Número de días que la serie debe usarse dentro de,¿Está el código de barras,Inactivo,Cantidad predeterminada al vender o recibir,Costo,Precio de venta,Precio promocional,Fecha de inicio de la promoción,Fecha de finalización de la promoción,"El precio incluye impuesto,",Es un servicio,Es favorito,Cantidad,Mínimo de productos,Nivel de Reposición,Descripción,descripción larga,Ventana emergente de información al agregar a la venta,Peso,Unidad de peso,Longitud,Ancho,Altura,Permitir descripción alterna,El artículo cuenta con un número de serie,Comisión,¿Porciento de comisión basado en ganancia?,Grupo de impuestos,Etiquetas,Días de vencimiento,Precio modificable mientras se realiza la venta,Fabricante,Ubicación en tienda,Artículo es de comercio electrónico,Id del artículo
104042,,_MANGUERA 1/2 X 70 MTS - Ref : 9985M,,,,AGRO,,,,,,,,y,y,,21375.0,28500,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,4031
104041,32897,_LLAVE PARED AQUAFINA ALETA,,,,CABLES-ELECTRICOS,,,,,,,,y,y,,12300.0,16400,,,,y,,n,0.0,10.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 19 - PISO: 2,y,4030
104040,32981,LLAVE MIXTA FINA 21MM,,,,CABLES-ELECTRICOS,PROVEEDORES  VARIOS,,,,,,,y,,,5187.0,7200,,,,,,n,101.0,20.0,2000.0,,,,,,,,,,,,,,LLAVE MIXTA,,,,ESTANTE: 8 - PISO: 1,y,4029
104039,32984,LLAVE MIXTA 23MM,,,,CABLES-ELECTRICOS,,,,,,,,y,,,5213.0,6950,,,,,,n,33.0,20.0,2000.0,,,,,,,,,,,,,,LLAVE MIXTA,,,,ESTANTE: 8 - PISO: 1,y,4028
104038,32924,_LLAVE LAVAMANOS PVC 1/2,,,,CABLES-ELECTRICOS,,,,,,,,y,y,,5400.0,7200,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 19 - PISO: 2,y,4027
104037,33017,_LAVAPLATOS DE 100X50CM DOBLE HUECO,,,,CABLES-ELECTRICOS,,,,,,,,y,y,,72750.0,102000,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,VARIOS - PISO: 1,y,4026
104036,2X9W,LAMPARA LED 2X9W,,,,CABLES-ELECTRICOS,OSBLACK IMPORTACIONES Y EXPORTACIONES,,,,,,,y,,,8500.0,10600,,,,,,n,37.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 38 - PISO: 3,y,4025
104035,2X18W,_LAMPARA LED 2X18W,,,,CABLES-ELECTRICOS,OSBLACK IMPORTACIONES Y EXPORTACIONES,,,,,,,y,y,,11500.0,14400,,,,,,n,0.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 38_ PISO: 3,y,4024
104034,1488,_JUEGO ACOPLE RAPIDO X 2,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,4125.0,5500,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,4023
104033,,_GUANTE ANTICORTE TITANIUM TALLA L (9) - Ref : 32837,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,10125.0,13500,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 29 - PISO: 3,y,4022
104032,32987,_GRAMERA 40 KLS TECLADO METALICO,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,76500.0,102000,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 33 - PISO: 3,y,4021
104031,33014,_EXTENSION NARANJA 6MTS,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,7500.0,10000,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 16 - PISO: 2,y,4020
104030,32951,_ESCUADRA CON NIVEL DIESEL  # 8,,,,HERRAMIENTAS-ACCESORIOS,DISTRIBUCIONES FERROELECTRICOS RESTREPO SAS,,,,,,,y,y,,5471.0,8600,,,,,,n,0.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 34 - PISO: 3,y,4019
104029,32948,"_DISCO CORTE METAL TIPO NORTON 9""",,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,3900.0,5200,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 17 - PISO: 2,y,4018
104028,32942,"DISCO CORTE METAL TIPO NORTON 7""",,,,ULTIMO_SALDO,,,,,,,,y,,,2250.0,3000,,,,,,n,1.0,20.0,2000.0,,,,,,,,,,,,,,DISCO OTROS,,,,ESTANTE: 17 - PISO: 2,y,4017
104027,32945,_DISCO CORTE METAL TIPO NORTON 41/2,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,975.0,1300,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 17 - PISO: 2,y,4016
104026,33080,DESMANCHADOR  MURIATICO PROQUIMITEC GALON,,,,HERRAMIENTAS-ACCESORIOS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,8641.0,11600,,,,y,,n,0.0,20.0,2000.0,,,,,,,,,,,,,,,,,,VARIOS - PISO: 1,y,4015
104025,33020,_CANDADO TREK DORADO 50MM,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,3600.0,4800,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,4014
104024,5715,_CANALETA SIN ADHESIVO 20 X 10,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,,,2250.0,3000,,,,y,,n,0.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 37 - PISO:3,y,4013
104023,9275,BOMBILLO LED UDUKE 7W,,,,CABLES-ELECTRICOS,,,,,,,,y,,,2400.0,3200,,,,,,n,37.0,20.0,2000.0,,,,,,,,,,,,,,BOMBILLO LED,,,,ESTANTE: 37 - PISO:3,,4012
104022,32939,ALEM EN T PASTA 6MM,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,,,2325.0,3100,,,,y,,n,-1.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 5 - PISO: 1,y,4011
104021,32936,ALEM EN T PASTA 5MM,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,,,2100.0,2800,,,,y,,n,0.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 5- PISO:1,y,4010
104020,32933,ALEM EN T PASTA 4MM,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,,,0.0,2600,,,,,,n,-2.0,20.0,0.0,INEXISTENTE,,,,,,,,,,,,,,,,,ESTANTE: 5 - PISO: 1,,4009
104019,,_PINTURA TIPO 1 PINTATEC OCRE -1/4 - Ref : 32390,,,,PINTURAS,,,,,,,,y,y,,0.0,0,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,INEXISTENTE,y,4007
104018,1833,ZIMBRA STAM/JAG CON MINERAL RT5,,,,HERRAMIENTAS-ACCESORIOS,DISTRIBUCIONES FERROELECTRICAS DE OCCIDENTE SAS,,,,,,,y,,,5540.0,7500,,,,,,n,136.0,20.0,2000.0,,,,,,,,,,,,,,MINERAL,,,,ESTANTE: 28 - PISO: 3,y,4006
104017,,_ZAPAPICO COLIMA - Ref : 10501,,,,AGRO,,,,,,,,y,y,,0.0,0,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,INEXISTENTE,y,4005
104016,4618,ZAPA PICO  4.5 / 5  LIBRAS,,,,AGRO,IMDICO S.A.S,,,,,,,y,,,22000.0,30000,,,,,,n,44.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE:6  - PISO: 1,y,4004
104015,,_YOYO GUADAÑA BELLOTA ATOMATICO - Ref : 60302,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,21300.0,28400,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 11 - PISO: 1,y,4003
104014,9920,YOYO GUADANA,,,,AGRO,COLOMBIANA DE COMERCIO  SA. Y/O ALKOSTO SAS,,,,,,,y,,,23393.0,28000,,,,y,,n,5.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 36 - PISO: 3,y,4002
104013,,_YESO ESCAYOLA - Ref : 4785,,,,HOGAR-CONSTRUCCION,,,,,,,,y,y,,21713.0,28950,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,4001
104012,YE1/2,YEE SANITARIA 1 1/2,,,,GRIFERIAS-ACCESORIOS,,,,,,,,y,y,,1275.0,1700,,,,,,n,0.0,20.0,2000.0,,,,,,,,,,,,,,YE,,,,CASA VERDE,,4000
104011,1176,YE SANITARIA 4,,,,GRIFERIAS-ACCESORIOS,HERAPLAS,,,,,,,y,,,9188.0,14000,,,,y,,n,0.0,20.0,2000.0,,,,,,,,,,,,,,YE,,,,CASA VERDE,y,3999
104010,10172,YE SANITARIA 3,,,,GRIFERIAS-ACCESORIOS,FABRICA Y DISTRIBUCION MARINA RODRIGUEZ SAS,,,,,,,y,,,5390.0,7500,,,,y,,n,68.0,20.0,2000.0,,,,,,,,,,,,,,YE,,,,CASA VERDE,y,3998
104009,1177,YE SANITARIA 2,,,,GRIFERIAS-ACCESORIOS,HERAPLAS,,,,,,,y,,,2439.0,3500,,,,y,,n,765.0,20.0,2000.0,,,,,,,,,,,,,,YE,,,,CASA VERDE,y,3997
104008,,_YE LAVADORA REGISTRO PG - Ref : 1832,,,,GRIFERIAS-ACCESORIOS,,,,,,,,y,y,,2550.0,3400,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,3996
104007,YE88,YE LAVADORA PLASTICA HOUSE,,,,GRIFERIAS-ACCESORIOS,CO  TOOLS,,,,,,,y,,,2500.0,3150,,,,y,,n,509.0,20.0,2000.0,,,,,,,,,,,,,,YE,,,,ESTANTE: 19 - PISO: 2,y,3995
104006,,_YE LAVADORA BRONCE LIVIANA - Ref : 4615,,,,GRIFERIAS-ACCESORIOS,,,,,,,,y,y,,0.0,0,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,INEXISTENTE,y,3994
104005,1830,YE LAVADORA BRONCE GRINAGA,,,,GRIFERIAS-ACCESORIOS,OSBLACK IMPORTACIONES Y EXPORTACIONES,,,,,,,y,,,3713.0,5500,,,,y,,n,-141.0,20.0,2000.0,,,,,,,,,,,,,,YE,,,,ESTANTE: 20 - PISO: 2,y,3993
104004,,_PINTURA ESMALTE COLPINTURAS - Ref : 10062,,,,PINTURAS,,,,,,,,y,y,,0.0,0,,,,,,n,0.0,,,INACTIVO,duplicado,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 1,y,3992
104003,98546,PINTURA_T1 PINTATEC AZUL PORCELANA-1/4,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,9141.0,12500,,,,,,n,0.0,,,,,,,,,,,,,,,,PINTURA T1,,,,ESTANTE: 0 - PISO: 0,y,3991
104002,16040,PINTURA_T1 PINTATEC ROSA PROFUNDO- 1/4,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,9141.0,12500,,,,,,n,21.0,,,,,,,,,,,,,,,,PINTURA T1,,,,CASA VERDE,y,3990
104001,32183,_VINILO PROQUIMITEC VIOLETA 1/32,,,,PINTURAS,,,,,,,,y,y,,1125.0,1500,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,3989
