REF;I
2899;100562
2900;100563
2898;100564
2901;100565
10411;100566
8321;100567
7031;100568
7786;100569
7785;100570
8282;100571
7787;100572
4961;100573
471;100574
10121;100575
10120;100576
4151;100577
14413;100578
7791;100579
7789;100580
7790;100581
7756;100582
5653;100583
5383;100584
5286;100585
10247;100586
9619;100587
7757;100588
481;100589
4054;100590
3576;100591
9620;100592
483;100593
484;100594
4811;100595
5583;100596
5584;100597
5585;100598
5586;100599
5587;100600
5588;100601
498;100602
497;100603
500;100604
5076;100605
3880;100606
5283;100607
7364;100608
7363;100609
6712;100610
504;100611
506;100612
9622;100613
9621;100614
9623;100615
9624;100616
9625;100617
9626;100618
9627;100619
9628;100620
9629;100621
10395;100622
10332;100623
10333;100624
10413;100625
10388;100626
10419;100627
10483;100628
2326;100629
2327;100630
2328;100631
2329;100632
2330;100633
2331;100634
2332;100635
96331;100636
C96321;100637
9635;100638
9636;100639
9634;100640
9637;100641
9638;100642
9639;100643
9640;100644
9641;100645
9645;100646
9643;100647
9644;100648
9646;100649
9647;100650
9648;100651
9649;100652
9650;100653
9651;100654
9652;100655
3886;100656
9653;100657
3147;100658
8039;100659
2137;100660
515;100661
7071;100662
9655;100663
591;100664
7823;100665
5157;100666
6753;100667
6754;100668
1902;100669
604;100670
602;100671
9657;100672
9656;100673
8735;100674
8734;100675
8753;100676
9661;100677
9662;100678
9663;100679
9664;100680
3031;100681
9666;100682
9665;100683
9667;100684
10126;100685
9668;100686
9669;100687
10141;100688
9670;100689
9671;100690
2961;100691
9672;100692
9673;100693
4779;100694
9674;100695
4908;100696
4910;100697
4911;100698
10143;100699
6370;100700
4818;100701
622;100702
623;100703
624;100704
625;100705
626;100706
633;100707
634;100708
7145;100709
7146;100710
5354;100711
7148;100712
4225;100713
4226;100714
6256;100715
6129;100716
6130;100717
6131;100718
645;100719
123;100720
2523;100721
2325;100722
994;100723
4235;100724
6333;100725
6336;100726
66;100727
7712B;100728
DSF109;100729
7770;100730
10456;100731
10445;100732
10444;100733
10458;100734
15100;100735
15101;100736
15102;100737
1445;100738
10236;100739
9591;100740
459H;100741
389;100742
B26750;100743
26756;100744
BLY 1;100745
BLY 3;100746
BLY 4;100747
BLY 7;100748
BLY 9;100749
7601;100750
4839;100751
C44;100752
2095;100753
2096;100754
1423;100755
6229;100756
7825;100757
6767;100758
475;100759
139;100760
140;100761
2974;100762
10485;100763
5643;100764
7829;100765
6981;100766
4898;100767
12894;100768
5987;100769
5988;100770
3165;100771
7910;100772
8446;100773
55555;100774
5833SS;100775
12156;100776
12166;100777
3399;100778
2222;100779
8963;100780
8955;100781
5333;100782
63984;100783
5368;100784
B5638;100785
AP1;100786
4236;100787
C67;100788
5797;100789
45894;100790
6967;100791
6968;100792
5930;100793
5944;100794
89566;100795
56982;100796
45653;100797
6432;100798
438;100799
4532_;100800
8563;100801
8210;100802
6614;100803
8954;100804
98633;100805
4611;100806
7599;100807
10146;100808
96534;100809
5986;100810
8223;100811
96357;100812
78532;100813
96314;100814
10425;100815
99863;100816
7097;100817
5635;100818
10576B;100819
7746;100820
57412;100821
57413;100822
10580;100823
7107;100824
18911;100825
5396;100826
9895;100827
5039;100828
232516;100829
8961;100830
45786;100831
7863;100832
7764;100833
7780;100834
10586;100835
10580_;100836
10587;100837
10588;100838
10589;100839
10590;100840
10591;100841
10592;100842
12635;100843
21512;100844
28220;100845
21452;100846
2316;100847
21365;100848
10576;100849
85024;100850
10698;100851
12851;100852
10129;100853
6495;100854
7916;100855
C130;100856
7788;100857
11580;100858
B01805;100859
8789;100860
67521;100861
22111;100862
2890;100863
60220;100864
103200;100865
7877;100866
3151A;100867
113714;100868
3759;100869
4018;100870
89887;100871
C95901;100872
95901;100873
705;100874
10221;100875
14451;100876
12750;100877
4035;100878
2435;100879
3524;100880
11112;100881
48154;100882
7911;100883
8671;100884
7395;100885
11000;100886
11001;100887
11002;100888
3306;100889
3306B;100890
10500;100891
34901;100892
11010;100893
11011;100894
11012;100895
16011;100896
3685;100897
7730;100898
16012;100899
36125;100900
15804;100901
15805;100902
105002;100903
105001;100904
11032;100905
11034;100906
154002;100907
11508;100908
8848;100909
15888;100910
15889;100911
15901;100912
15501;100913
15870;100914
15871;100915
15874;100916
4853;100917
45111;100918
11041;100919
78444;100920
124511;100921
451111;100922
15809;100923
154400;100924
154877;100925
7758;100926
C29651;100927
16045;100928
64958;100929
16001;100930
16004;100931
16047;100932
16048;100933
99991;100934
16055;100935
17014;100936
17901;100937
17092;100938
8425;100939
3751;100940
10662;100941
8758;100942
8375;100943
3331;100944
3330;100945
6214;100946
3334;100947
16070;100948
16082;100949
8430;100950
8434;100951
16088;100952
55458;100953
5356;100954
87554;100955
6496;100956
16098;100957
12895;100958
16095;100959
5612;100960
17093;100961
17096;100962
17097;100963
47854;100964
47855;100965
5489;100966
5556;100967
5559;100968
5561;100969
5765;100970
9659;100971
17820;100972
60213;100973
5658;100974
16730;100975
5978;100976
BLY14;100977
25231;100978
16751;100979
11009;100980
11007;100981
11008;100982
16757_;100983
16758;100984
78945;100985
B04521;100986
2681;100987
1520;100988
1521;100989
1522;100990
1519;100991
3801;100992
3201;100993
3202;100994
12741;100995
A111;100996
85235;100997
120A;100998
121A;100999
122A;101000
123A;101001
nnnnnn;101002
124A;101003
R-509;101004
A30;101005
A40;101006
A29;101007
A28;101008
C01;101009
C02;101010
C03;101011
TD2;101012
CP01;101013
1250;101014
1489;101015
7610;101016
N5;101017
CE1;101018
CE2;101019
CH1;101020
CE3;101021
5718;101022
CS1;101023
C012;101024
BE1;101025
C013;101026
CM 20;101027
BL1;101028
12742;101029
B 03;101030
BL2;101031
7501;101032
BD1;101033
A01;101034
C2961;101035
8391;101036
11945;101037
7704;101038
7737;101039
7738;101040
7740;101041
7743;101042
BP12;101043
C0156;101044
B0738;101045
7708;101046
8395;101047
7705;101048
8480;101049
7735;101050
7706;101051
8478;101052
7707;101053
7709;101054
7742;101055
7712;101056
7714;101057
7716;101058
B012;101059
B013;101060
8747B;101061
8394;101062
7710B;101063
L4875;101064
MB1;101065
1651;101066
11946;101067
12134;101068
7721;101069
CV1;101070
BR09;101071
BR01;101072
BR02;101073
BR03;101074
BR07;101075
BR08;101076
CB1;101077
B20;101078
C1;101079
C2;101080
CC1;101081
CL1;101082
CDR;101083
CU1;101084
CO4;101085
CM1;101086
CP1_;101087
CM2;101088
C3;101089
B15;101090
CED;101091
31214;101092
BR04;101093
BR05;101094
27782;101095
8396;101096
MPBM25A1;101097
BBL20W;101098
12604;101099
C12;101100
65258;101101
5138;101102
7096B;101103
56001;101104
56001_;101105
0042_;101106
8393;101107
CC16;101108
C16;101109
C18;101110
C20;101111
BM15;101112
BM20;101113
BM30;101114
BM40;101115
01917;101116
C01921;101117
09380;101118
C01919;101119
BL6;101120
BL10;101121
BL12;101122
ACA;101123
ACAI;101124
ACVJ;101125
ACAL;101126
ACVB;101127
01914;101128
CB8;101129
CB6;101130
APL;101131
12596;101132
ACDP;101133
ACFR;101134
BL9;101135
BL13;101136
A6;101137
BEX6;101138
CHVD;101139
CHVI;101140
CP4;101141
31673;101142
A35;101143
03791;101144
03793;101145
03792;101146
03898;101147
A3794;101148
04171;101149
03851;101150
A04175;101151
05857;101152
05858;101153
C0311;101154
C0310;101155
7609B;101156
A01523;101157
B9;101158
27108710;101159
9084;101160
9085;101161
C8-10;101162
04215;101163
9086;101164
BC3;101165
5607;101166
4227;101167
BM50;101168
BH1 1/2;101169
BH2;101170
BH3;101171
C1/2;101172
7711B;101173
7734B;101174
7713B;101175
CPET;101176
ACGE;101177
ACROP - G2;101178
CU1/4;101179
CUG;101180
CUPO;101181
11162;101182
10722;101183
C5;101184
CD10;101185
CD12;101186
CD14;101187
CD16;101188
BK;101189
AHG;101190
BA20;101191
BA40;101192
BA60;101193
12091;101194
32135;101195
R-507;101196
BM18;101197
32237;101198
32249;101199
12781;101200
0016;101201
32378;101202
32414;101203
8793;101204
8794;101205
11522;101206
8795;101207
8796;101208
11523;101209
13358;101210
13359;101211
R/500;101212
R/502;101213
29147;101214
499;101215
32483;101216
32489;101217
32492;101218
32498;101219
32510;101220
32513;101221
32549;101222
32552;101223
32582;101224
32585;101225
32588;101226
32597;101227
